population,gdp,clean_cons_per_capita,clean_consumption,clean_share_energy,fossil_cons_per_capita,fossil_consumption,fossil_share_energy,electricity_demand,energy_per_gdp
30774624.0,209000000000.0,5.189,0.16,0.53,9741.336,299.786,99.948,23.82,1.438
31200984.0,223000000000.0,6.497,0.23,0.65,9955.142,31.61,99.935,24.98,1.391
31624700.0,245000000000.0,5.261,0.166,0.52,1175.89,321.784,99.948,25.97,1.312
32055882.0,274000000000.0,23.975,0.769,0.228,1486.486,336.154,99.772,27.82,1.232
32510184.0,297000000000.0,22.248,0.723,0.27,1736.774,349.54,99.793,29.4,1.179
32956690.0,327000000000.0,48.247,1.59,0.434,1165.476,364.681,99.566,31.99,1.121
33435082.0,346000000000.0,18.518,0.619,0.163,11323.461,378.61,99.837,33.21,1.097
33983836.0,372000000000.0,18.84,0.639,0.16,1174.896,399.1,99.84,34.99,1.075
34569592.0,396000000000.0,23.4,0.795,0.188,12229.294,422.762,99.812,37.78,1.071
35196040.0,418000000000.0,27.137,0.955,0.213,12725.983,447.94,99.787,36.18,1.073
35856348.0,451000000000.0,14.96,0.55,0.115,12229.6,438.489,99.885,42.93,0.974
36543548.0,482000000000.0,29.93,1.93,0.235,1268.638,463.396,99.765,48.03,0.964
37260568.0,498000000000.0,3.592,1.14,0.224,13594.317,56.532,99.775,53.94,1.02
38000628.0,512000000000.0,9.151,0.348,0.65,14121.584,536.629,99.935,56.22,1.049
38760168.0,531000000000.0,17.754,0.689,0.117,159.883,584.925,99.882,60.21,1.102
39543148.0,552000000000.0,15.119,0.597,0.96,1561.193,616.92,99.93,64.65,1.12
40339328.0,575000000000.0,22.31,0.9,0.145,15272.843,616.96,99.854,66.51,1.074
41136548.0,582000000000.0,37.458,1.541,0.247,15126.543,622.254,99.753,71.16,1.072
41927008.0,590000000000.0,46.65,1.931,0.288,15966.56,669.43,99.712,72.02,1.137
37070772.0,536000000000.0,2754.917,12.127,14.616,166.57,595.378,85.28,86.47,1.302
37480492.0,515000000000.0,342.33,127.51,18.683,14775.743,553.82,81.146,88.25,1.325
37885024.0,461000000000.0,3192.579,12.951,18.482,1436.67,531.777,81.26,86.99,1.419
38278164.0,504000000000.0,3116.866,119.38,17.9,15134.121,579.36,82.59,93.17,1.391
38668796.0,552000000000.0,2838.219,19.751,14.735,16351.621,632.297,84.892,99.16,1.348
39070504.0,604000000000.0,2996.266,117.65,14.87,17164.93,67.61,84.822,104.74,1.309
39476856.0,656000000000.0,3279.15,129.449,15.585,17675.689,697.781,84.13,113.76,1.267
39876116.0,718000000000.0,2711.8,18.136,12.476,18939.355,755.228,87.131,118.45,1.207
40273768.0,751000000000.0,2674.925,17.729,12.269,1931.121,766.455,87.292,120.23,1.17
40684344.0,710000000000.0,2917.857,118.711,13.98,17968.441,731.35,85.647,122.46,1.203
41100124.0,785000000000.0,2865.94,117.789,13.311,18552.357,762.54,86.168,128.24,1.127
